circuit_id,n_qubits,gate_count,observable_size,is_projector,is_stabilizer,epsilon,delta,bernstein,n_threads,xi,h_old,h_new,result,requested_shots,variance_shots,variance_hat,std_hat,sigma_max,variance_bound,observable_norm,observable_norm_is_exact,cpu_time_ns,wall_time_ns
0,60,520,80,0,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,0.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.944271909999e+00,0,2642000,2643856
1,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,5.318930502261e+00,3257,408,-4.070731797230e+00,0,279,6.217045406783e-02,1.482761639804e-01,1.517437907258e+00,2.302617802383e+00,8.944271909999e+00,0,923883000,55388500
2,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.494571346797e+01,71644,2192,-8.011476412239e+00,0,1310,5.156361272558e-02,6.333191279598e-01,3.592550648103e+00,1.290642015919e+01,8.944271909999e+00,0,4729475000,308855445
3,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.034096067268e+02,1231140,9009,-1.112607884771e+01,0,5431,1.206553569730e-02,1.269957529824e+00,7.292970654436e+00,5.318742096647e+01,8.944271909999e+00,0,19605905000,887525218
4,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,3.797204451792e+02,16600213,31215,-1.378610739295e+01,0,19945,2.193438700947e-03,1.988299204723e+00,1.352842881330e+01,1.830183861566e+02,8.944271909999e+00,0,70268010000,3741716949
5,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.237500943892e+03,176309929,95074,-1.523500367419e+01,0,65003,3.712760489940e-04,2.665931659980e+00,2.349812593602e+01,5.521619225053e+02,8.944271909999e+00,0,225107032000,10484090550
6,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,3.585790920124e+03,1480320043,260026,-1.612820524299e+01,0,188353,6.483502631432e-05,3.228083911946e+00,3.868922308287e+01,1.496855982756e+03,8.944271909999e+00,0,647668493000,29749592617
7,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,9.252234613025e+03,9855506909,641002,-1.599224252034e+01,0,485999,1.182677661842e-05,3.557417526185e+00,6.051902459856e+01,3.662552338362e+03,8.944271909999e+00,0,1676270608000,77726090995
8,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.128747518623e+04,52171581575,1424824,-1.509995333136e+01,0,1118184,2.237962418121e-06,3.560455448193e+00,8.996180975696e+01,8.093127214748e+03,8.944271909999e+00,0,4122823324000,187264187155
9,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,4.372537513597e+04,220116592594,2859662,-1.361007057969e+01,0,2296798,4.715541075342e-07,3.357022999929e+00,1.271867957367e+02,1.617648100977e+04,8.944271909999e+00,0,8738827220999,403901279931
10,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,8.026316252126e+04,741682835766,5169908,-1.181746173494e+01,0,4216048,1.121005360229e-07,3.004520135492e+00,1.707753233541e+02,2.916421106671e+04,8.944271909999e+00,0,16755405660000,790631285737
11,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.317776493367e+05,1999259671527,8401671,-9.810855802486e+00,0,6921992,2.944407356214e-08,2.528108505892e+00,2.174987136457e+02,4.730569043754e+04,8.944271909999e+00,0,28991108620000,1422888185462
12,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.936464330330e+05,4317225130522,12265776,-7.839409011589e+00,0,10171824,8.917316841796e-09,2.044474071626e+00,2.626375921217e+02,6.897850479546e+04,8.944271909999e+00,0,45059724670000,2114167563371
13,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.548290387912e+05,7476245003929,16069803,-5.997324738624e+00,0,13385612,2.974379690380e-09,1.553825076594e+00,3.004928778230e+02,9.029596962237e+04,8.944271909999e+00,0,62426191841000,3110265876026
14,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,3.004199796109e+05,10390664389044,18893014,-4.406434639504e+00,0,15780405,1.185939481626e-09,1.156684943961e+00,3.257373093451e+02,1.061047946994e+05,8.944271909999e+00,0,77053860858000,4022230162277
15,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,3.173544939918e+05,11595113345145,19920376,-3.093706121058e+00,0,16669938,5.256299512353e-10,8.134665722211e-01,3.344168996244e+02,1.118346627544e+05,8.944271909999e+00,0,84124710008000,4189064921181
16,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,3.004201852772e+05,10390678615861,18834843,-2.072286878383e+00,0,15780416,2.778656010679e-10,5.598884506714e-01,3.251406219311e+02,1.057164240298e+05,8.944271909999e+00,0,81676842425000,4268090688682
17,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,2.548293879406e+05,7476265490824,15964166,-1.319981413819e+00,0,13385631,1.758422992037e-10,3.778036892299e-01,2.993170538593e+02,8.959069873099e+04,8.944271909999e+00,0,70152066225000,3636030288207
18,60,520,80,0,0,2.000000000000e-01,2.000000000000e-01,1,24,1.936456122473e+05,4317188532803,12125484,-7.978107607463e-01,0,10171780,1.397431565307e-10,2.559339749699e-01,2.608485111006e+02,6.804194574338e+04,8.944271909999e+00,0,53766093963000,2623060039996
