circuit_id,n_qubits,gate_count,observable_size,is_projector,is_stabilizer,epsilon,delta,bernstein,n_threads,xi,h_old,h_new,result,requested_shots,variance_shots,variance_hat,std_hat,sigma_max,variance_bound,observable_norm,observable_norm_is_exact,cpu_time_ns,wall_time_ns
0,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,583000,585076
1,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.291792068187e+06,192119266645837,80754571,8.352751053955e-19,0,67855015,5.144421575325e-41,9.265329936279e-15,6.730610817929e+02,4.530112198243e+05,1.000000000000e+00,1,13118978148000,560561720824
2,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.262561877174e+06,183523226763933,78927286,-7.270873761788e-18,0,66319617,4.837818252480e-39,8.781676734874e-14,6.654026224132e+02,4.427606499143e+05,1.000000000000e+00,1,12907040670000,553696650154
3,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,9.366815587623e+05,101011223845199,58555338,-6.639140674026e-18,0,49201836,3.020697432846e-40,1.627966947673e-14,5.731313406577e+02,3.284795336441e+05,1.000000000000e+00,1,9604910278000,415491669866
4,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.857535148432e+06,1713189787281722,241148380,-7.749919645753e-18,0,202627894,3.690168186146e-40,7.410251911500e-14,1.163089447529e+03,1.352777062954e+06,1.000000000000e+00,1,39510515984000,1674766430040
5,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,6.633031393677e+05,50653539594478,41465472,-3.008164486669e-18,0,34841864,1.557797345278e-40,8.278802697270e-15,4.822966065854e+02,2.326100167237e+05,1.000000000000e+00,1,6730860479000,296355433978
6,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.242577506068e+06,177759437769061,77677992,6.779163514201e-19,0,65269881,1.265437148239e-41,4.420218900116e-15,6.601154814141e+02,4.357524488026e+05,1.000000000000e+00,1,12833188305000,558641270089
7,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,5.519456784302e+05,35073440330479,34504117,1.462019973217e-18,0,28992500,0.000000000000e+00,0.000000000000e+00,4.399530671166e+02,1.935587012653e+05,1.000000000000e+00,1,5555490323000,243658433626
8,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.002330135385e+06,115666413247675,62659266,-4.978579247317e-19,0,52650212,5.121160680144e-41,7.172903513268e-15,5.928755869422e+02,3.515014615920e+05,1.000000000000e+00,1,10135658799000,437421164874
9,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.189579659406e+05,11712580780569,19939219,6.945550138851e-19,0,16754165,2.938468514996e-40,5.467565241416e-15,3.344451557259e+02,1.118535621885e+05,1.000000000000e+00,1,3167303725000,142856937622
10,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.291792068187e+06,192119266645837,80754571,-1.813580456739e-19,0,67855015,1.219582716295e-42,1.426586940704e-15,6.730610817929e+02,4.530112198243e+05,1.000000000000e+00,1,13229483303000,567766461233
11,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,570000,589781
12,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,9.302149680471e+05,99621331013332,58151088,0.000000000000e+00,0,48862160,0.000000000000e+00,0.000000000000e+00,5.711495447905e+02,3.262118025144e+05,1.000000000000e+00,1,9439159918000,407931631868
13,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,9.025461721327e+05,93783092668084,56421413,0.000000000000e+00,0,47408778,0.000000000000e+00,0.000000000000e+00,5.625911427184e+02,3.165087938652e+05,1.000000000000e+00,1,9157107450000,395924072641
14,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,7.847921250193e+05,70907955909677,49060185,-1.079862943679e-17,0,41223415,2.852105066907e-38,1.325370795091e-13,5.246087094293e+02,2.752142980091e+05,1.000000000000e+00,1,7913467958000,343066907144
15,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,5.095410791467e+05,29891251461476,31853254,6.026589392742e-17,0,26765079,3.728520362699e-37,3.111339926678e-13,4.227151213690e+02,1.786880738340e+05,1.000000000000e+00,1,5155817139000,226933829078
16,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,5.780126607428e+05,38464526939742,36133658,-1.882844599278e-18,0,30361742,1.431047404916e-39,2.186574915258e-14,4.502221457863e+02,2.026999805564e+05,1.000000000000e+00,1,5914200652000,259264853078
17,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.570536633893e+06,283976129237238,98179894,9.964374328218e-18,0,82496858,1.822676654101e-39,6.705063366737e-14,7.421337927625e+02,5.507625663601e+05,1.000000000000e+00,1,16067823134000,694046405829
18,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.082138407771e+05,10936792384543,19267565,1.689354470141e-18,0,16189799,7.635711136592e-40,8.516808507245e-15,3.287640033680e+02,1.080857699106e+05,1.000000000000e+00,1,3097002695000,140131836576
19,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.383915143521e+06,220497980549065,86513515,3.049385937615e-19,0,72694039,1.713419448542e-42,1.811512385527e-15,6.966472107968e+02,4.853173363110e+05,1.000000000000e+00,1,14235778945999,610246160201
20,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.262561877174e+06,183523226763933,78927286,-2.546398024185e-18,0,66319617,5.439596290134e-39,9.311850743507e-14,6.654026224132e+02,4.427606499143e+05,1.000000000000e+00,1,12925369313000,560252509961
21,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,9.302149680471e+05,99621331013332,58151088,6.161634883527e-36,0,48862160,3.036465150691e-75,5.125868659165e-32,5.711495447905e+02,3.262118025144e+05,1.000000000000e+00,1,9457032677000,408493909342
22,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,86000,87133
23,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,4.494257544178e+05,23254210812083,28095228,1.470494659255e-18,0,23607353,2.580270320960e-40,7.219224701516e-15,3.969969371037e+02,1.576065680697e+05,1.000000000000e+00,1,4649678966000,207166482748
24,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.804921633443e+05,16667755681807,23785942,0.000000000000e+00,0,19986422,0.000000000000e+00,0.000000000000e+00,3.652843269907e+02,1.334326395451e+05,1.000000000000e+00,1,3744013218000,167116194028
25,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.409012843432e+05,6681345402303,15059615,0.000000000000e+00,0,12654018,0.000000000000e+00,0.000000000000e+00,2.906549652960e+02,8.448030885121e+04,1.000000000000e+00,1,2377084639000,109479920615
26,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,7.554138139473e+05,65698512654538,47223641,7.819342292410e-19,0,39680237,2.186973376953e-38,1.117137602907e-13,5.146958149177e+02,2.649117818938e+05,1.000000000000e+00,1,7676332440999,333875592602
