circuit_id,n_qubits,gate_count,expectation_real,expectation_imag
0,20,140,-3.6473238708770173e-18,0
1,20,140,-1.0384291276027704,0
2,20,140,-2.0250283060984478,0
3,20,140,-2.9118630875111879,0
4,20,140,-3.6584215336791943,0
5,20,140,-4.2344351043425137,0
6,20,140,-4.6217995956858511,0
7,20,140,-4.8152880099500299,0
8,20,140,-4.8222421598356995,0
9,20,140,-4.6611506097182627,0
10,20,140,-4.3593734513714182,0
11,20,140,-3.9502690167159566,0
12,20,140,-3.4700381653894219,0
13,20,140,-2.9546224569766757,0
14,20,140,-2.4368963261111811,0
15,20,140,-1.9445451213911198,0
16,20,140,-1.498588752894263,0
17,20,140,-1.1127639300009713,0
18,20,140,-0.79367495591628567,0
19,20,140,-0.54160686066713337,0
20,20,140,-0.35182143881644395,0
21,20,140,-0.21612289532666368,0
22,20,140,-0.12445846500597964,0
23,20,140,-0.066392282566011193,0
24,20,140,-0.032251097231513523,0
25,20,140,-0.013895071409539312,0
26,20,140,-0.0050776737334284044,0
27,20,140,-0.0014435217405333717,0
28,20,140,-0.00026080167038304347,0
29,20,140,-1.5354167860177786e-05,0
30,20,140,4.4700046208977565e-17,0
