60 520
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
cx 19 50
cx 43 50
u1 50 0.680678
cx 43 50
cx 19 50
cx 6 16
cx 4 16
u1 16 -0.680678
cx 4 16
cx 6 16
cx 6 10
cx 59 10
u1 10 -0.680678
cx 59 10
cx 6 10
cx 16 57
cx 32 57
u1 57 0.680678
cx 32 57
cx 16 57
cx 41 24
cx 18 24
u1 24 -0.680678
cx 18 24
cx 41 24
cx 14 42
cx 22 42
u1 42 -0.680678
cx 22 42
cx 14 42
cx 59 26
cx 24 26
u1 26 0.680678
cx 24 26
cx 59 26
cx 13 9
cx 10 9
u1 9 -0.680678
cx 10 9
cx 13 9
cx 35 19
cx 11 19
u1 19 0.680678
cx 11 19
cx 35 19
cx 50 32
cx 42 32
u1 32 -0.680678
cx 42 32
cx 50 32
cx 20 54
cx 56 54
u1 54 0.680678
cx 56 54
cx 20 54
cx 17 26
cx 8 26
u1 26 -0.680678
cx 8 26
cx 17 26
cx 21 54
cx 15 54
u1 54 -0.680678
cx 15 54
cx 21 54
cx 25 19
cx 15 19
u1 19 0.680678
cx 15 19
cx 25 19
cx 7 46
cx 5 46
u1 46 0.680678
cx 5 46
cx 7 46
cx 5 38
cx 35 38
u1 38 -0.680678
cx 35 38
cx 5 38
cx 40 47
cx 53 47
u1 47 -0.680678
cx 53 47
cx 40 47
cx 30 20
cx 34 20
u1 20 0.680678
cx 34 20
cx 30 20
cx 50 23
cx 22 23
u1 23 0.680678
cx 22 23
cx 50 23
cx 36 24
cx 21 24
u1 24 0.680678
cx 21 24
cx 36 24
cx 5 26
cx 56 26
u1 26 -0.680678
cx 56 26
cx 5 26
cx 7 34
cx 58 34
u1 34 0.680678
cx 58 34
cx 7 34
cx 56 12
cx 46 12
u1 12 0.680678
cx 46 12
cx 56 12
cx 48 49
cx 28 49
u1 49 0.680678
cx 28 49
cx 48 49
cx 0 49
cx 37 49
u1 49 -0.680678
cx 37 49
cx 0 49
cx 3 7
cx 50 7
u1 7 0.680678
cx 50 7
cx 3 7
cx 36 21
cx 12 21
u1 21 -0.680678
cx 12 21
cx 36 21
cx 27 18
cx 49 18
u1 18 -0.680678
cx 49 18
cx 27 18
cx 36 48
cx 41 48
u1 48 0.680678
cx 41 48
cx 36 48
cx 16 20
cx 33 20
u1 20 -0.680678
cx 33 20
cx 16 20
cx 11 54
cx 0 54
u1 54 0.680678
cx 0 54
cx 11 54
cx 1 19
cx 45 19
u1 19 -0.680678
cx 45 19
cx 1 19
cx 45 59
cx 23 59
u1 59 0.680678
cx 23 59
cx 45 59
cx 30 38
cx 52 38
u1 38 -0.680678
cx 52 38
cx 30 38
cx 30 58
cx 47 58
u1 58 0.680678
cx 47 58
cx 30 58
cx 6 37
cx 44 37
u1 37 0.680678
cx 44 37
cx 6 37
cx 6 11
cx 15 11
u1 11 0.680678
cx 15 11
cx 6 11
cx 39 18
cx 14 18
u1 18 -0.680678
cx 14 18
cx 39 18
cx 32 23
cx 28 23
u1 23 0.680678
cx 28 23
cx 32 23
cx 29 27
cx 22 27
u1 27 -0.680678
cx 22 27
cx 29 27
cx 57 58
cx 2 58
u1 58 0.680678
cx 2 58
cx 57 58
cx 46 15
cx 3 15
u1 15 -0.680678
cx 3 15
cx 46 15
cx 38 13
cx 42 13
u1 13 0.680678
cx 42 13
cx 38 13
cx 31 0
cx 12 0
u1 0 -0.680678
cx 12 0
cx 31 0
cx 31 2
cx 4 2
u1 2 -0.680678
cx 4 2
cx 31 2
cx 45 53
cx 1 53
u1 53 0.680678
cx 1 53
cx 45 53
cx 1 58
cx 34 58
u1 58 0.680678
cx 34 58
cx 1 58
cx 21 44
cx 52 44
u1 44 0.680678
cx 52 44
cx 21 44
cx 7 51
cx 29 51
u1 51 0.680678
cx 29 51
cx 7 51
cx 11 0
cx 59 0
u1 0 -0.680678
cx 59 0
cx 11 0
cx 36 29
cx 55 29
u1 29 -0.680678
cx 55 29
cx 36 29
cx 34 27
cx 1 27
u1 27 0.680678
cx 1 27
cx 34 27
cx 2 38
cx 25 38
u1 38 -0.680678
cx 25 38
cx 2 38
cx 17 3
cx 37 3
u1 3 -0.680678
