64 381
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
u1 0 2.1417991757808066
u1 1 1.9435795431229348
u1 2 -1.3910438299781394
u1 3 -2.1681398610568152
u1 4 -1.638150620436809
u1 5 0.09063173296619631
u1 6 1.0068524489085779
u1 7 2.2342219464432391
u1 8 1.7171858594210043
u1 9 -1.4206197811682904
u1 10 1.8183926042330523
u1 11 -1.8553872970250707
u1 12 -1.8345496872566383
u1 13 2.4461255231828076
u1 14 -3.0904243075078677
u1 15 2.7200090000074564
u1 16 -1.2741731878455331
u1 17 -1.1302656507705713
u1 18 -1.51793542178706
u1 19 1.3585273341954256
u1 20 1.5375328935676329
u1 21 0.55320243008909742
u1 22 -0.93681780080112897
u1 23 -1.3228974775407745
u1 24 0.23625155080265792
u1 25 1.4902970700380225
u1 26 -2.3779062326293285
u1 27 1.0909354581212476
u1 28 -1.4318567104133066
u1 29 1.8132483490595552
u1 30 2.9254644304735216
u1 31 -0.035568926080893348
u1 32 0.6506601651093824
u1 33 3.0613100847078933
u1 34 -0.29338138201669239
u1 35 -1.7279118049932674
u1 36 0.038686879154669285
u1 37 -3.0140785484278352
u1 38 0.22977941857701367
u1 39 0.037136837391500421
u1 40 2.0447339885565579
u1 41 -1.6143328012318481
u1 42 2.3254806977096321
u1 43 -1.798536454640395
u1 44 0.17009755642697266
u1 45 -0.69372065871444644
u1 46 1.674250077110055
u1 47 1.3511307923879698
u1 48 -2.6995165588748637
u1 49 -2.936117232882673
u1 50 -0.55644700354166687
u1 51 -1.1818478751226857
u1 52 2.3355357655583795
u1 53 2.0954253560461815
u1 54 -2.5814504176905864
u1 55 -1.3097981566189176
u1 56 2.7269514518067397
u1 57 -1.3734712489299259
u1 58 -2.4502056529655958
u1 59 1.4235429466639573
u1 60 2.0148273066007372
u1 61 0.1817802263242575
u1 62 -0.079279149648634473
u1 63 -1.4484679311349602
cx 0 1
u1 1 -0.30424196406948134
cx 0 1
cx 1 2
u1 2 1.1987092036167928
cx 1 2
cx 2 3
u1 3 1.2827315796773959
cx 2 3
cx 3 4
u1 4 -1.6055611622853352
cx 3 4
cx 4 5
u1 5 -0.86077166193200494
cx 4 5
cx 5 6
u1 6 -2.5171773110709132
cx 5 6
cx 6 7
u1 7 1.7924052362645337
cx 6 7
cx 7 8
u1 8 -1.7262854182799954
cx 7 8
cx 8 9
u1 9 -2.1939840472322794
cx 8 9
cx 9 10
u1 10 -1.5798295868339425
cx 9 10
cx 10 11
u1 11 -0.76262002885133828
cx 10 11
cx 11 12
u1 12 2.9019071295047802
cx 11 12
cx 12 13
u1 13 2.3732896013475404
cx 12 13
cx 13 14
u1 14 2.8754748466690288
cx 13 14
cx 14 15
u1 15 -1.6109568152028721
cx 14 15
cx 15 16
u1 16 -1.9513479168947032
cx 15 16
cx 16 17
u1 17 -0.82691012364238381
cx 16 17
cx 17 18
u1 18 -0.72350022374582679
cx 17 18
cx 18 19
u1 19 -1.2885639196695866
cx 18 19
cx 19 20
u1 20 -2.6698001940664362
cx 19 20
cx 20 21
u1 21 -2.0798992414347883
cx 20 21
cx 21 22
u1 22 2.496236460870044
cx 21 22
cx 22 23
u1 23 2.9699997725621561
cx 22 23
cx 23 24
u1 24 0.53171545026978073
cx 23 24
cx 24 25
u1 25 2.9778106910492164
cx 24 25
cx 25 26
u1 26 2.0961362117934241
cx 25 26
cx 26 27
u1 27 -2.5445306634195379
cx 26 27
cx 27 28
u1 28 -1.5719286328758972
cx 27 28
cx 28 29
u1 29 0.61417959591030469
cx 28 29
cx 29 30
u1 30 0.017010907602029945
cx 29 30
cx 30 31
u1 31 -1.2980960483882029
cx 30 31
cx 31 32
u1 32 1.1626644080856403
cx 31 32
cx 32 33
u1 33 -2.028442608322516
cx 32 33
cx 33 34
u1 34 0.94453634499544314
cx 33 34
cx 34 35
u1 35 2.5249723845709102
cx 34 35
cx 35 36
u1 36 -2.6877714448761871
cx 35 36
cx 36 37
u1 37 -1.5914774904267066
cx 36 37
cx 37 38
u1 38 -1.3735615304838245
cx 37 38
cx 38 39
u1 39 -2.7987694044684801
cx 38 39
cx 39 40
u1 40 -1.0518451904138466
cx 39 40
cx 40 41
u1 41 3.0149734845583005
cx 40 41
cx 41 42
u1 42 2.1445449931319449
cx 41 42
cx 42 43
u1 43 1.7547908094748372
cx 42 43
cx 43 44
u1 44 0.53221313301208895
cx 43 44
cx 44 45
u1 45 0.76049586117664525
cx 44 45
cx 45 46
u1 46 -1.0824670047463216
cx 45 46
cx 46 47
u1 47 -0.71081401312556536
cx 46 47
cx 47 48
u1 48 1.2838276402723956
cx 47 48
cx 48 49
u1 49 2.6672484986115421
cx 48 49
cx 49 50
u1 50 1.4349915200254664
cx 49 50
cx 50 51
u1 51 1.8493917124184698
cx 50 51
cx 51 52
u1 52 -2.789934230624759
cx 51 52
cx 52 53
u1 53 -2.8950991003369673
cx 52 53
cx 53 54
u1 54 2.0781303740526855
cx 53 54
cx 54 55
u1 55 -1.6600418909583112
cx 54 55
cx 55 56
u1 56 -0.020947347012649331
cx 55 56
cx 56 57
u1 57 -2.1615018334355298
cx 56 57
cx 57 58
u1 58 0.82866038656822205
cx 57 58
cx 58 59
u1 59 -2.7394853349459218
cx 58 59
cx 59 60
u1 60 -2.0109246844757074
cx 59 60
cx 60 61
u1 61 0.33184463300580536
cx 60 61
cx 61 62
u1 62 -0.015655188149946042
cx 61 62
cx 62 63
u1 63 1.6378638105255163
cx 62 63
h 0
h 1
h 2
h 3
h 4
h 5
h 6
h 7
h 8
h 9
h 10
h 11
h 12
h 13
h 14
h 15
h 16
h 17
h 18
h 19
h 20
h 21
h 22
h 23
h 24
h 25
h 26
h 27
h 28
h 29
h 30
h 31
h 32
h 33
h 34
h 35
h 36
h 37
h 38
h 39
h 40
h 41
h 42
h 43
h 44
h 45
h 46
h 47
h 48
h 49
h 50
h 51
h 52
h 53
h 54
h 55
h 56
h 57
h 58
h 59
h 60
h 61
h 62
h 63
